Region	idx1	idx2	group
Brain-Left-Cerebellum-LCerebellCtx	1	1	1
Brain-Left-Cerebellum-LCerebellWM	2	2	1
Brain-Right-Cerebellum-RCerebellCtx	3	3	1
Brain-Right-Cerebellum-RCerebellWM	4	4	1
Brain-UniLateral-BrainStem-BrainStem	5	5	1
Brain-Left-Cerebellum-LCerebellWM	2	2	2
Brain-Left-Cerebellum-LCerebellCtx	1	1	2
Brain-Right-Cerebellum-RCerebellCtx	3	3	2
Brain-Right-Cerebellum-RCerebellWM	4	4	2
Brain-UniLateral-BrainStem-BrainStem	5	5	2
Brain-Left-CerebralCortex-LCerebCtx	6	6	3
Brain-Left-Cingulate-LIsthmCing	7	7	3
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	3
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	3
Brain-Left-FrontalLobe-LSupFrontal	10	10	3
Brain-Left-OccipitalLobe-LLatOccipital	11	11	3
Brain-Left-ParietalLobe-LInfParietal	12	12	3
Brain-Left-ParietalLobe-LPrecuneus	13	13	3
Brain-Left-ParietalLobe-LSupParietal	14	14	3
Brain-Left-ParietalLobe-LSupramarg	15	15	3
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	3
Brain-Left-SubcTemporal-LHippVol	17	17	3
Brain-Left-TemporalLobe-LBanksSTS	18	18	3
Brain-Left-TemporalLobe-LFusiform	19	19	3
Brain-Left-TemporalLobe-LInfTemporal	20	20	3
Brain-Left-TemporalLobe-LLingual	21	21	3
Brain-Left-TemporalLobe-LMidTemporal	22	22	3
Brain-Left-TemporalLobe-LSupTemporal	23	23	3
Brain-Right-CerebralCortex-RCerebCtx	24	24	3
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	3
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	3
Brain-Right-FrontalLobe-RSupFrontal	27	27	3
Brain-Right-OccipitalLobe-RLatOccipital	28	28	3
Brain-Right-ParietalLobe-RInfParietal	29	29	3
Brain-Right-ParietalLobe-RPrecuneus	30	30	3
Brain-Right-ParietalLobe-RSupParietal	31	31	3
Brain-Right-ParietalLobe-RSupramarg	32	32	3
Brain-Right-SubcTemporal-RHippVol	33	33	3
Brain-Right-TemporalLobe-RBanksSTS	34	34	3
Brain-Right-TemporalLobe-RFusiform	35	35	3
Brain-Right-TemporalLobe-RInfTemporal	36	36	3
Brain-Right-TemporalLobe-RMidTemporal	37	37	3
Brain-Right-TemporalLobe-RSupTemporal	38	38	3
Brain-Left-CerebralCortex-LCerebWM	39	39	4
Brain-Left-SubcTemporal-LHippVol	17	17	4
Brain-Left-Ventricles-LLatVent	40	40	4
Brain-Right-CerebralCortex-RCerebWM	41	41	4
Brain-Right-SubcTemporal-RHippVol	33	33	4
Brain-Right-Ventricles-RLatVent	42	42	4
Brain-UniLateral-CorpusCollosum-CC_Cent	43	43	4
Brain-UniLateral-CorpusCollosum-CC_MidAnt	44	44	4
Brain-UniLateral-CorpusCollosum-CC_MidPost	45	45	4
Brain-Left-Cingulate-LCaudAntCing	46	46	5
Brain-Left-Cingulate-LRostAntCing	47	47	5
Brain-Left-Cingulate-LIsthmCing	7	7	6
Brain-Left-CerebralCortex-LCerebCtx	6	6	6
Brain-Left-Cingulate-LPostCing	48	48	6
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	6
Brain-Left-FrontalLobe-LLatOrbFrontal	49	49	6
Brain-Left-FrontalLobe-LParsOper	50	50	6
Brain-Left-FrontalLobe-LParsOrb	51	51	6
Brain-Left-FrontalLobe-LParsTriang	52	52	6
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	6
Brain-Left-FrontalLobe-LSupFrontal	10	10	6
Brain-Left-OccipitalLobe-LLatOccipital	11	11	6
Brain-Left-ParietalLobe-LInfParietal	12	12	6
Brain-Left-ParietalLobe-LPrecuneus	13	13	6
Brain-Left-ParietalLobe-LSupParietal	14	14	6
Brain-Left-ParietalLobe-LSupramarg	15	15	6
Brain-Left-SensoryMotorCortex-LParacentral	53	53	6
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	6
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	6
Brain-Left-TemporalLobe-LBanksSTS	18	18	6
Brain-Left-TemporalLobe-LFusiform	19	19	6
Brain-Left-TemporalLobe-LInfTemporal	20	20	6
Brain-Left-TemporalLobe-LLingual	21	21	6
Brain-Left-TemporalLobe-LMidTemporal	22	22	6
Brain-Left-TemporalLobe-LSupTemporal	23	23	6
Brain-Right-CerebralCortex-RCerebCtx	24	24	6
Brain-Right-Cingulate-RIsthmCing	55	55	6
Brain-Right-Cingulate-RPostCing	56	56	6
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	6
Brain-Right-FrontalLobe-RLatOrbFrontal	57	57	6
Brain-Right-FrontalLobe-RParsOper	58	58	6
Brain-Right-FrontalLobe-RParsTriang	59	59	6
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	6
Brain-Right-FrontalLobe-RSupFrontal	27	27	6
Brain-Right-ParietalLobe-RInfParietal	29	29	6
Brain-Right-ParietalLobe-RPrecuneus	30	30	6
Brain-Right-ParietalLobe-RSupramarg	32	32	6
Brain-Right-SensoryMotorCortex-RPrecentral	60	60	6
Brain-Right-TemporalLobe-RFusiform	35	35	6
Brain-Right-TemporalLobe-RInfTemporal	36	36	6
Brain-Right-TemporalLobe-RMidTemporal	37	37	6
Brain-Right-TemporalLobe-RSupTemporal	38	38	6
Brain-Left-Cingulate-LPostCing	48	48	7
Brain-Left-Cingulate-LIsthmCing	7	7	7
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	7
Brain-Left-FrontalLobe-LSupFrontal	10	10	7
Brain-Left-ParietalLobe-LSupramarg	15	15	7
Brain-Left-TemporalLobe-LFusiform	19	19	7
Brain-Left-TemporalLobe-LInfTemporal	20	20	7
Brain-Left-TemporalLobe-LMidTemporal	22	22	7
Brain-Left-TemporalLobe-LSupTemporal	23	23	7
Brain-Right-Cingulate-RIsthmCing	55	55	7
Brain-Right-Cingulate-RPostCing	56	56	7
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	7
Brain-Right-FrontalLobe-RSupFrontal	27	27	7
Brain-Right-ParietalLobe-RPrecuneus	30	30	7
Brain-Right-ParietalLobe-RSupramarg	32	32	7
Brain-Right-TemporalLobe-RMidTemporal	37	37	7
Brain-Left-Cingulate-LRostAntCing	47	47	8
Brain-Left-Cingulate-LCaudAntCing	46	46	8
Brain-Left-FrontalLobe-LMedOrbFrontal	61	61	8
